<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
# Lists of eth addresses for uTCA and related HW (PSU, etc...)

# uTCA TCDS crates in S1E01
# Crate in U26
AMC4807,08:00:30:F3:02:17
AMC4808,08:00:30:F3:02:18
AMC4809,08:00:30:F3:02:19
AMC4810,08:00:30:F3:02:1A
AMC4811,08:00:30:F3:02:1B
AMC4812,08:00:30:F3:02:1C
AMC48131,08:00:30:F3:01:E9
AMC48132,08:00:30:F3:01:A9

# uTCA crate in S1D07 U41
# 0C:05:04:03:03:0
MCH0901,00:40:42:0B:1C:4C
AMC0901,08:00:30:F3:02:21
AMC0902,08:00:30:F3:02:22
AMC0903,08:00:30:F3:02:23
AMC0904,08:00:30:F3:02:24
AMC0905,08:00:30:F3:02:25
AMC0906,08:00:30:F3:02:26
AMC0907,08:00:30:F3:02:27
AMC0908,08:00:30:F3:02:28
AMC0909,08:00:30:F3:02:29
AMC0910,08:00:30:F3:02:2A
AMC0911,08:00:30:F3:02:2B
AMC0912,08:00:30:F3:02:2C
AMC09131,08:00:30:F3:01:E8
AMC09132,08:00:30:F3:01:A8

# uTCA crate in S1D08 U12
# 0C:05:04:03:06:7
MCH4901,00:40:42:0B:26:C5
AMC4901,08:00:30:F3:02:41
AMC4902,08:00:30:F3:02:42
AMC4903,08:00:30:F3:02:43
AMC4904,08:00:30:F3:02:44
AMC4905,08:00:30:F3:02:45
AMC4906,08:00:30:F3:02:46
AMC4907,08:00:30:F3:02:47
AMC4908,08:00:30:F3:02:48
AMC4909,08:00:30:F3:02:49
AMC4910,08:00:30:F3:02:4A
AMC4911,08:00:30:F3:02:4B
AMC4912,08:00:30:F3:02:4C
AMC49131,08:00:30:F3:01:E7
AMC49132,08:00:30:F3:01:A7

# uTCA crate in S1D08 U29
# 0C:05:04:03:06:8
#MCH5001,00:40:42:0B:36:A6
#00:40:42:0b:10:e3
MCH5001,00:40:42:0B:10:E3
AMC5001,08:00:30:F3:02:31
AMC5002,08:00:30:F3:02:32
AMC5003,08:00:30:F3:02:33
AMC5004,08:00:30:F3:02:34
AMC5005,08:00:30:F3:02:35
AMC5006,08:00:30:F3:02:36
AMC5007,08:00:30:F3:02:37
AMC5008,08:00:30:F3:02:38
AMC5009,08:00:30:F3:02:39
AMC5010,08:00:30:F3:02:3A
AMC5011,08:00:30:F3:02:3B
AMC5012,08:00:30:F3:02:3C
AMC50131,08:00:30:F3:01:E6
AMC50132,08:00:30:F3:01:A6

# uTCA crate in S1D08 U42
# 0C:05:04:03:06:9
MCH5101,00:40:42:0B:3B:C6
AMC5101,08:00:30:F3:02:51
AMC5102,08:00:30:F3:02:52
AMC5103,08:00:30:F3:02:53
AMC5104,08:00:30:F3:02:54
AMC5105,08:00:30:F3:02:55
AMC5106,08:00:30:F3:02:56
AMC5107,08:00:30:F3:02:57
AMC5108,08:00:30:F3:02:58
AMC5109,08:00:30:F3:02:59
AMC5110,08:00:30:F3:02:5A
AMC5111,08:00:30:F3:02:5B
AMC5112,08:00:30:F3:02:5C
AMC51131,08:00:30:F3:01:E5
AMC51132,08:00:30:F3:01:A5

# uTCA crate in XXX (not used)
MCH4601,0C:05:04:03:06:40
AMC4601,0C:05:04:03:06:41
AMC4602,0C:05:04:03:06:42
AMC4603,0C:05:04:03:06:43
AMC4604,0C:05:04:03:06:44
AMC4605,0C:05:04:03:06:45
AMC4606,0C:05:04:03:06:46
AMC4607,0C:05:04:03:06:47
AMC4608,0C:05:04:03:06:48
AMC4609,0C:05:04:03:06:49
AMC4610,0C:05:04:03:06:4A
AMC4611,0C:05:04:03:06:4B
AMC4612,0C:05:04:03:06:4C
AMC46131,0C:05:04:03:06:4D
AMC46132,0C:05:04:03:06:4E

# HCAL uTCA crates in S2F01 to S2F09
# uTCA crate in S2F01 U17
# 0C:05:04:03:04:E
MCH2401,00:40:42:0B:20:BC
AMC2401,0C:05:04:03:04:E1
AMC2402,0C:05:04:03:04:E2
AMC2403,0C:05:04:03:04:E3
AMC2404,0C:05:04:03:04:E4
AMC2405,0C:05:04:03:04:E5
AMC2406,0C:05:04:03:04:E6
AMC2407,0C:05:04:03:04:E7
AMC2408,0C:05:04:03:04:E8
AMC2409,0C:05:04:03:04:E9
AMC2410,0C:05:04:03:04:EA
AMC2411,0C:05:04:03:04:EB
AMC2412,0C:05:04:03:04:EC
AMC24131,0C:05:04:03:04:ED
AMC24132,0C:05:04:03:04:EE
# uTCA crate in S2F01 U27
# 0C:05:04:03:05:0
MCH2601,00:40:42:0B:20:B6
AMC2601,0C:05:04:03:05:01
AMC2602,0C:05:04:03:05:02
AMC2603,0C:05:04:03:05:03
AMC2604,0C:05:04:03:05:04
AMC2605,0C:05:04:03:05:05
AMC2606,0C:05:04:03:05:06
AMC2607,0C:05:04:03:05:07
AMC2608,0C:05:04:03:05:08
AMC2609,0C:05:04:03:05:09
AMC2610,0C:05:04:03:05:0A
AMC2611,0C:05:04:03:05:0B
AMC2612,0C:05:04:03:05:0C
AMC26131,0C:05:04:03:05:0D
AMC26132,0C:05:04:03:05:0E
# uTCA crate in S2F02 U14
# 0C:05:04:03:09:90
MCH9701,00:40:42:0B:20:D2
AMC9701,0C:05:04:03:09:91
AMC9702,0C:05:04:03:09:92
AMC9703,0C:05:04:03:09:93
AMC9704,0C:05:04:03:09:94
AMC9705,0C:05:04:03:09:95
