# Format: <Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


#### Rack C2A01 ####
MC17120267-4,a4:bf:01:28:94:ae,,a4:bf:01:28:94:b0
MC17120277-1,a4:bf:01:28:97:ce,,a4:bf:01:28:97:d0
MC17120277-2,a4:bf:01:28:c3:4f,,a4:bf:01:28:c3:51
MC17120277-3,a4:bf:01:28:9e:27,,a4:bf:01:28:9e:29
MC17120277-4,a4:bf:01:28:98:e1,,a4:bf:01:28:98:e3
MC17120279-1,a4:bf:01:28:c4:85,,a4:bf:01:28:c4:87
MC17120279-2,a4:bf:01:28:98:aa,,a4:bf:01:28:98:ac
MC17120279-3,a4:bf:01:28:95:9e,,a4:bf:01:28:95:a0
MC17120279-4,a4:bf:01:28:c1:56,,a4:bf:01:28:c1:58
MC17120284-1,a4:bf:01:28:c1:e7,,a4:bf:01:28:c1:e9
MC17120284-2,a4:bf:01:28:95:da,,a4:bf:01:28:95:dc
MC17120284-3,a4:bf:01:28:c4:2b,,a4:bf:01:28:c4:2d
MC17120284-4,a4:bf:01:28:91:4d,,a4:bf:01:28:91:4f
MC17120290-1,a4:bf:01:27:59:8a,,a4:bf:01:27:59:8c
MC17120290-2,a4:bf:01:27:b1:af,,a4:bf:01:27:b1:b1
MC17120290-3,a4:bf:01:27:77:fb,,a4:bf:01:27:77:fd
MC17120290-4,a4:bf:01:27:ae:a8,,a4:bf:01:27:ae:aa
MC17120292-1,a4:bf:01:28:eb:7b,,a4:bf:01:28:eb:7d
MC17120292-2,a4:bf:01:28:9c:7e,,a4:bf:01:28:9c:80
MC17120292-3,a4:bf:01:2d:20:fb,,a4:bf:01:2d:20:fd
MC17120292-4,a4:bf:01:28:c4:49,,a4:bf:01:28:c4:4b
MC17120293-1,a4:bf:01:28:c4:53,,a4:bf:01:28:c4:55
MC17120293-2,a4:bf:01:2d:1b:52,,a4:bf:01:2d:1b:54
MC17120293-3,a4:bf:01:28:c4:76,,a4:bf:01:28:c4:78
MC17120293-4,a4:bf:01:28:c1:ec,,a4:bf:01:28:c1:ee
MC17120296-1,a4:bf:01:2d:15:c6,,a4:bf:01:2d:15:c8
MC17120296-2,a4:bf:01:28:c3:e0,,a4:bf:01:28:c3:e2
MC17120296-3,a4:bf:01:28:90:71,,a4:bf:01:28:90:73
MC17120296-4,a4:bf:01:2d:21:28,,a4:bf:01:2d:21:2a
MC17120308-1,a4:bf:01:28:95:b7,,a4:bf:01:28:95:b9
MC17120308-2,a4:bf:01:28:97:f6,,a4:bf:01:28:97:f8
MC17120308-3,a4:bf:01:28:91:ac,,a4:bf:01:28:91:ae
MC17120308-4,a4:bf:01:28:99:4a,,a4:bf:01:28:99:4c

#### Rack C2A045 ####
MC17120215-2,a4:bf:01:28:c2:50,,a4:bf:01:28:c2:52
MC17120215-4,a4:bf:01:27:f9:46,,a4:bf:01:27:f9:48
MC17120217-2,a4:bf:01:2d:1f:cf,,a4:bf:01:2d:1f:d1
MC17120217-4,a4:bf:01:2d:22:f4,,a4:bf:01:2d:22:f6
MC17120222-2,a4:bf:01:28:93:1e,,a4:bf:01:28:93:20
MC17120222-4,a4:bf:01:28:c1:a6,,a4:bf:01:28:c1:a8
MC17120223-2,a4:bf:01:28:ba:e9,,a4:bf:01:28:ba:eb
MC17120223-4,a4:bf:01:28:c1:83,,a4:bf:01:28:c1:85
MC17120227-2,a4:bf:01:28:9a:a3,,a4:bf:01:28:9a:a5
MC17120227-4,a4:bf:01:28:b9:09,,a4:bf:01:28:b9:0b
MC17120228-2,a4:bf:01:28:98:d2,,a4:bf:01:28:98:d4
MC17120228-4,a4:bf:01:28:c2:82,,a4:bf:01:28:c2:84
MC17120229-2,a4:bf:01:28:c3:86,,a4:bf:01:28:c3:88
MC17120229-4,a4:bf:01:28:c1:2e,,a4:bf:01:28:c1:30
MC17120230-2,a4:bf:01:28:b9:9a,,a4:bf:01:28:b9:9c
MC17120230-4,a4:bf:01:28:f0:12,,a4:bf:01:28:f0:14
MC17120235-2,a4:bf:01:28:c0:8e,,a4:bf:01:28:c0:90
MC17120235-4,a4:bf:01:28:96:66,,a4:bf:01:28:96:68
MC17120238-2,a4:bf:01:28:c3:f4,,a4:bf:01:28:c3:f6
MC17120238-4,a4:bf:01:28:c6:24,,a4:bf:01:28:c6:26
MC17120239-2,a4:bf:01:2d:1a:ad,,a4:bf:01:2d:1a:af
MC17120239-4,a4:bf:01:2d:19:bd,,a4:bf:01:2d:19:bf
MC17120242-2,a4:bf:01:28:93:fa,,a4:bf:01:28:93:fc
MC17120242-4,a4:bf:01:28:9e:31,,a4:bf:01:28:9e:33
MC17120243-2,a4:bf:01:2d:21:7d,,a4:bf:01:2d:21:7f
MC17120243-4,a4:bf:01:28:9d:50,,a4:bf:01:28:9d:52
MC17120244-2,a4:bf:01:29:3c:f1,,a4:bf:01:29:3c:f3
MC17120244-4,a4:bf:01:28:c3:ef,,a4:bf:01:28:c3:f1
MC17120247-2,a4:bf:01:28:9e:4f,,a4:bf:01:28:9e:51
MC17120247-4,a4:bf:01:2d:21:cd,,a4:bf:01:2d:21:cf
MC17120248-2,a4:bf:01:28:ec:48,,a4:bf:01:28:ec:4a
MC17120248-4,a4:bf:01:29:3f:0d,,a4:bf:01:29:3f:0f
MC17120251-2,a4:bf:01:28:92:dd,,a4:bf:01:28:92:df
MC17120251-4,a4:bf:01:28:96:3e,,a4:bf:01:28:96:40
MC17120258-2,a4:bf:01:28:c2:46,,a4:bf:01:28:c2:48
MC17120258-4,a4:bf:01:28:ec:57,,a4:bf:01:28:ec:59
MC17120263-2,a4:bf:01:28:9a:76,,a4:bf:01:28:9a:78
MC17120263-4,a4:bf:01:28:96:ed,,a4:bf:01:28:96:ef
MC17120266-2,a4:bf:01:28:91:ca,,a4:bf:01:28:91:cc
MC17120266-4,a4:bf:01:28:98:9b,,a4:bf:01:28:98:9d
MC17120269-2,a4:bf:01:28:c0:4d,,a4:bf:01:28:c0:4f
MC17120269-4,a4:bf:01:2d:20:38,,a4:bf:01:2d:20:3a
MC17120272-2,a4:bf:01:2d:17:a1,,a4:bf:01:2d:17:a3
MC17120272-4,a4:bf:01:28:c3:90,,a4:bf:01:28:c3:92
MC17120275-2,a4:bf:01:28:c2:a0,,a4:bf:01:28:c2:a2
MC17120275-4,a4:bf:01:28:ba:6c,,a4:bf:01:28:ba:6e
MC17120278-2,a4:bf:01:28:97:79,,a4:bf:01:28:97:7b
MC17120278-4,a4:bf:01:28:9a:99,,a4:bf:01:28:9a:9b
MC17120280-2,a4:bf:01:28:28:3b,,a4:bf:01:28:28:3d
MC17120280-4,a4:bf:01:28:c2:05,,a4:bf:01:28:c2:07
MC17120281-2,a4:bf:01:28:97:38,,a4:bf:01:28:97:3a
MC17120281-4,a4:bf:01:28:90:99,,a4:bf:01:28:90:9b
MC17120283-2,a4:bf:01:28:90:80,,a4:bf:01:28:90:82
MC17120283-4,a4:bf:01:28:c1:7e,,a4:bf:01:28:c1:80
MC17120285-2,a4:bf:01:28:c1:0b,,a4:bf:01:28:c1:0d
MC17120285-4,a4:bf:01:28:93:37,,a4:bf:01:28:93:39
MC17120299-2,a4:bf:01:2d:1a:fd,,a4:bf:01:2d:1a:ff
MC17120299-4,a4:bf:01:28:c3:6d,,a4:bf:01:28:c3:6f
MC17120300-2,a4:bf:01:2d:20:c9,,a4:bf:01:2d:20:cb
MC17120300-4,a4:bf:01:2d:21:41,,a4:bf:01:2d:21:43
MC17120303-2,a4:bf:01:27:75:bc,,a4:bf:01:27:75:be
MC17120303-4,a4:bf:01:28:be:3b,,a4:bf:01:28:be:3d
MC17120305-2,a4:bf:01:28:98:6e,,a4:bf:01:28:98:70
MC17120305-4,a4:bf:01:28:c2:19,,a4:bf:01:28:c2:1b
MC17120306-2,a4:bf:01:27:af:bb,,a4:bf:01:27:af:bd
MC17120306-4,a4:bf:01:27:77:79,,a4:bf:01:27:77:7b
MC17120307-2,a4:bf:01:28:98:82,,a4:bf:01:28:98:84
MC17120307-4,a4:bf:01:2d:21:2d,,a4:bf:01:2d:21:2f
MC17120310-2,a4:bf:01:28:c6:29,,a4:bf:01:28:c6:2b
MC17120310-4,a4:bf:01:2d:1f:d4,,a4:bf:01:2d:1f:d6
MC17120313-2,a4:bf:01:27:ae:9e,,a4:bf:01:27:ae:a0
MC17120313-4,a4:bf:01:2d:1a:58,,a4:bf:01:2d:1a:5a
MC17120314-2,a4:bf:01:28:b9:95,,a4:bf:01:28:b9:97
MC17120314-4,a4:bf:01:28:c0:f2,,a4:bf:01:28:c0:f4
MC17120315-2,a4:bf:01:28:c4:a3,,a4:bf:01:28:c4:a5
MC17120315-4,a4:bf:01:28:94:bd,,a4:bf:01:28:94:bf
MC17120316-2,a4:bf:01:29:3e:04,,a4:bf:01:29:3e:06
MC17120316-4,a4:bf:01:28:c2:af,,a4:bf:01:28:c2:b1
MC17120317-2,a4:bf:01:2d:1f:98,,a4:bf:01:2d:1f:9a
MC17120317-4,a4:bf:01:2d:20:60,,a4:bf:01:2d:20:62
MC17120215-1,a4:bf:01:28:c4:c1,,a4:bf:01:28:c4:c3
MC17120215-3,a4:bf:01:2d:24:39,,a4:bf:01:2d:24:3b
MC17120217-1,a4:bf:01:28:c3:db,,a4:bf:01:28:c3:dd
#MC17120217-3,a4:bf:01:2d:21:2d,,a4:bf:01:2d:21:2f
MC17120217-3,a4:bf:01:28:c4:62,,a4:bf:01:28:c4:64
MC17120222-1,a4:bf:01:28:b8:d2,,a4:bf:01:28:b8:d4
MC17120222-3,a4:bf:01:28:c2:cd,,a4:bf:01:28:c2:cf
MC17120223-1,a4:bf:01:28:c3:59,,a4:bf:01:28:c3:5b
MC17120223-3,a4:bf:01:28:c6:8d,,a4:bf:01:28:c6:8f
MC17120227-1,a4:bf:01:28:c2:41,,a4:bf:01:28:c2:43
MC17120227-3,a4:bf:01:28:ba:67,,a4:bf:01:28:ba:69
MC17120228-1,a4:bf:01:28:95:62,,a4:bf:01:28:95:64
MC17120228-3,a4:bf:01:28:be:e0,,a4:bf:01:28:be:e2
MC17120229-1,a4:bf:01:28:9e:c2,,a4:bf:01:28:9e:c4
MC17120229-3,a4:bf:01:28:c2:1e,,a4:bf:01:28:c2:20
MC17120230-1,a4:bf:01:28:eb:3a,,a4:bf:01:28:eb:3c
MC17120230-3,a4:bf:01:28:c0:c5,,a4:bf:01:28:c0:c7
MC17120235-1,a4:bf:01:28:c0:de,,a4:bf:01:28:c0:e0
MC17120235-3,a4:bf:01:2c:b8:1c,,a4:bf:01:2c:b8:1e
MC17120238-1,a4:bf:01:2d:21:b4,,a4:bf:01:2d:21:b6
MC17120238-3,a4:bf:01:2d:1f:ca,,a4:bf:01:2d:1f:cc
MC17120239-1,a4:bf:01:2d:1f:e3,,a4:bf:01:2d:1f:e5
MC17120239-3,a4:bf:01:2d:21:46,,a4:bf:01:2d:21:48
MC17120242-1,a4:bf:01:28:c4:8f,,a4:bf:01:28:c4:91
